year,variable,tech,carrier,sample,value
2050,final_energy_MWh,biomass,biomass,61,3.8706e+08
2050,final_energy_MWh,biomass,biomass,62,4.22489e+08
2050,final_energy_MWh,biomass,biomass,63,4.40958e+08
2050,final_energy_MWh,biomass,biomass,64,4.09878e+08
2050,final_energy_MWh,biomass,biomass,65,4.01129e+08
2050,final_energy_MWh,biomass,biomass,66,4.13295e+08
2050,final_energy_MWh,biomass,biomass,67,4.7644e+08
2050,final_energy_MWh,biomass,biomass,68,4.70405e+08
2050,final_energy_MWh,biomass,biomass,69,4.99686e+08
2050,final_energy_MWh,biomass,biomass,70,5.0223e+08
2050,final_energy_MWh,biomass,biomass,71,3.9726e+08
2050,final_energy_MWh,biomass,biomass,72,4.21307e+08
2050,final_energy_MWh,biomass,biomass,73,4.35322e+08
2050,final_energy_MWh,biomass,biomass,74,3.6389e+08
2050,final_energy_MWh,biomass,biomass,75,4.49663e+08
2050,final_energy_MWh,biomass,biomass,76,3.87011e+08
2050,final_energy_MWh,biomass,biomass,77,4.68286e+08
2050,final_energy_MWh,biomass,biomass,78,4.21151e+08
2050,final_energy_MWh,biomass,biomass,79,3.86845e+08
2050,final_energy_MWh,biomass,biomass,80,4.03519e+08
2050,final_energy_MWh,biomass,biomass,81,5.22143e+08
2050,final_energy_MWh,biomass,biomass,82,4.06793e+08
2050,final_energy_MWh,biomass,biomass,83,4.90279e+08
2050,final_energy_MWh,biomass,biomass,84,4.3691e+08
2050,final_energy_MWh,biomass,biomass,85,4.6513e+08
2050,final_energy_MWh,biomass,biomass,86,3.8986e+08
2050,final_energy_MWh,biomass,biomass,87,4.98011e+08
2050,final_energy_MWh,biomass,biomass,88,4.58351e+08
2050,final_energy_MWh,biomass,biomass,89,3.7453e+08
2050,final_energy_MWh,biomass,biomass,90,3.41526e+08
2050,final_energy_MWh,biomass,biomass,91,3.60685e+08
2050,final_energy_MWh,biomass,biomass,92,3.83152e+08
2050,final_energy_MWh,biomass,biomass,93,4.47473e+08
2050,final_energy_MWh,biomass,biomass,94,4.90791e+08
2050,final_energy_MWh,biomass,biomass,95,4.18703e+08
2050,final_energy_MWh,biomass,biomass,96,3.71417e+08
2050,final_energy_MWh,biomass,biomass,97,4.87792e+08
2050,final_energy_MWh,biomass,biomass,98,3.67875e+08
2050,final_energy_MWh,biomass,biomass,99,4.69846e+08
2050,final_energy_MWh,biomass,biomass,100,3.83735e+08
