country,basis,year,peak_gw,peaker_cap_gw,short_hours,peaker_energy_gwh,peaker_flh,unserved_gwh,lol_hours
FR,hp_elec,2040,35.11,0.0,0,0.0,0.0,0.0,0
FR,hp_elec,2050,39.57,0.0,0,0.0,0.0,0.0,0
FR,thermal,2025,258.02,90.87,103,3309.1,36.0,0.0,0
FR,thermal,2030,252.35,85.2,97,2874.4,34.0,0.0,0
FR,thermal,2040,240.02,72.87,60,2188.3,30.0,0.0,0
FR,thermal,2050,225.53,58.38,54,1495.0,26.0,0.0,0
HR,total_elec,2025,2.8,0.0,0,0.0,0.0,0.0,0
HR,total_elec,2030,3.29,0.47,104,16.2,34.0,0.2,3
HR,total_elec,2040,4.25,1.19,42,21.3,18.0,0.1,3
HR,total_elec,2050,4.81,0.79,16,7.3,9.0,0.7,3
HR,hp_elec,2025,0.07,0.0,0,0.0,0.0,0.0,0
HR,hp_elec,2030,0.33,0.0,0,0.0,0.0,0.0,0
HR,hp_elec,2040,0.98,0.0,0,0.0,0.0,0.0,0
HR,hp_elec,2050,1.17,0.0,0,0.0,0.0,0.0,0
HR,thermal,2025,7.99,2.8,103,101.1,36.0,0.0,0
HR,thermal,2030,7.71,2.52,72,81.2,32.0,0.0,0
HR,thermal,2040,7.2,2.01,54,55.7,28.0,0.0,0
HR,thermal,2050,6.72,1.53,42,35.6,23.0,0.0,0
HU,total_elec,2025,7.25,0.26,54,5.6,21.0,0.0,3
HU,total_elec,2030,8.68,2.5,586,427.7,171.0,0.1,3
HU,total_elec,2040,11.69,4.32,139,233.5,54.0,0.2,3
HU,total_elec,2050,13.6,4.94,47,107.1,22.0,0.9,3
HU,hp_elec,2025,0.22,0.0,0,0.0,0.0,0.0,0
HU,hp_elec,2030,1.08,0.0,0,0.0,0.0,0.0,0
HU,hp_elec,2040,3.39,0.0,0,0.0,0.0,0.0,0
HU,hp_elec,2050,4.41,0.0,0,0.0,0.0,0.0,0
HU,thermal,2025,30.6,10.76,103,390.7,36.0,0.0,0
HU,thermal,2030,29.62,9.78,72,318.3,33.0,0.0,0
HU,thermal,2040,27.68,7.84,54,219.9,28.0,0.0,0
HU,thermal,2050,25.88,6.04,42,143.1,24.0,0.0,0
IE,total_elec,2025,5.68,0.0,0,0.0,0.0,0.0,0
IE,total_elec,2030,7.14,0.45,19,4.7,10.0,0.7,3
IE,total_elec,2040,8.12,2.01,22,21.9,11.0,1.8,3
IE,total_elec,2050,9.7,3.15,50,70.6,22.0,1.6,3
IE,hp_elec,2025,0.64,0.0,0,0.0,0.0,0.0,0
IE,hp_elec,2030,1.77,0.0,0,0.0,0.0,0.0,0
IE,hp_elec,2040,2.01,0.0,0,0.0,0.0,0.0,0
IE,hp_elec,2050,2.97,0.0,0,0.0,0.0,0.0,0
IE,thermal,2025,15.76,5.54,103,201.5,36.0,0.0,0
IE,thermal,2030,15.96,5.74,103,217.4,38.0,0.0,0
IE,thermal,2040,16.12,5.9,140,231.2,39.0,0.0,0
IE,thermal,2050,15.97,5.75,103,217.7,38.0,0.0,0
IT,total_elec,2025,51.24,0.0,0,0.0,0.0,0.0,0
IT,total_elec,2030,60.05,0.0,0,0.0,0.0,0.0,0
IT,total_elec,2040,80.97,0.0,0,0.0,0.0,0.0,0
IT,total_elec,2050,97.41,9.52,6,46.5,5.0,14.5,3
IT,hp_elec,2025,6.68,0.0,0,0.0,0.0,0.0,0
IT,hp_elec,2030,11.72,0.0,0,0.0,0.0,0.0,0
IT,hp_elec,2040,28.44,0.0,0,0.0,0.0,0.0,0
IT,hp_elec,2050,39.1,0.0,0,0.0,0.0,0.0,0
IT,thermal,2025,228.81,80.57,103,2933.2,36.0,0.0,0
IT,thermal,2030,228.35,80.11,103,2897.2,36.0,0.0,0
IT,thermal,2040,227.76,79.52,103,2849.7,36.0,0.0,0
IT,thermal,2050,226.6,78.36,97,2761.3,35.0,0.0,0
LT,total_elec,2025,2.29,0.09,23,1.0,11.0,0.2,3
LT,total_elec,2030,2.7,0.58,210,37.4,65.0,0.3,3
LT,total_elec,2040,3.42,0.84,52,19.8,24.0,0.2,3
