year,variable,tech,carrier,sample,value
2030,co2_MtCO2,all,all,183,533.204
2030,co2_MtCO2,all,all,184,521.902
2030,co2_MtCO2,all,all,185,524.887
2030,co2_MtCO2,all,all,186,526.782
2030,co2_MtCO2,all,all,187,527.224
2030,co2_MtCO2,all,all,188,531.513
2030,co2_MtCO2,all,all,189,503.886
2030,co2_MtCO2,all,all,190,524.99
2030,co2_MtCO2,all,all,191,534.931
2030,co2_MtCO2,all,all,192,533.602
2030,co2_MtCO2,all,all,193,541.261
2030,co2_MtCO2,all,all,194,516.162
2030,co2_MtCO2,all,all,195,533.384
2030,co2_MtCO2,all,all,196,532.295
2030,co2_MtCO2,all,all,197,536.243
2030,co2_MtCO2,all,all,198,516.917
2030,co2_MtCO2,all,all,199,516.989
2040,co2_MtCO2,all,all,0,395.795
2040,co2_MtCO2,all,all,1,330.117
2040,co2_MtCO2,all,all,2,404.845
2040,co2_MtCO2,all,all,3,401.773
2040,co2_MtCO2,all,all,4,415.656
2040,co2_MtCO2,all,all,5,410.099
2040,co2_MtCO2,all,all,6,420.708
2040,co2_MtCO2,all,all,7,363.306
2040,co2_MtCO2,all,all,8,423.908
2040,co2_MtCO2,all,all,9,354.999
2040,co2_MtCO2,all,all,10,378.996
2040,co2_MtCO2,all,all,11,375.302
2040,co2_MtCO2,all,all,12,370.798
2040,co2_MtCO2,all,all,13,409.106
2040,co2_MtCO2,all,all,14,417.056
2040,co2_MtCO2,all,all,15,396.779
2040,co2_MtCO2,all,all,16,389.572
2040,co2_MtCO2,all,all,17,357.566
2040,co2_MtCO2,all,all,18,400.148
2040,co2_MtCO2,all,all,19,412.944
2040,co2_MtCO2,all,all,20,411.393
2040,co2_MtCO2,all,all,21,375.592
2040,co2_MtCO2,all,all,22,333.471
2040,co2_MtCO2,all,all,23,376.665
2040,co2_MtCO2,all,all,24,400.549
2040,co2_MtCO2,all,all,25,418.654
2040,co2_MtCO2,all,all,26,400.428
2040,co2_MtCO2,all,all,27,381.893
2040,co2_MtCO2,all,all,28,381.154
2040,co2_MtCO2,all,all,29,420.609
2040,co2_MtCO2,all,all,30,417.832
2040,co2_MtCO2,all,all,31,411.908
2040,co2_MtCO2,all,all,32,402.423
2040,co2_MtCO2,all,all,33,339.379
2040,co2_MtCO2,all,all,34,373.683
2040,co2_MtCO2,all,all,35,387.198
2040,co2_MtCO2,all,all,36,433.893
2040,co2_MtCO2,all,all,37,389.091
2040,co2_MtCO2,all,all,38,422.853
2040,co2_MtCO2,all,all,39,355.064
2040,co2_MtCO2,all,all,40,388.951
2040,co2_MtCO2,all,all,41,385.601
2040,co2_MtCO2,all,all,42,381.05
2040,co2_MtCO2,all,all,43,387.223
2040,co2_MtCO2,all,all,44,402.858
2040,co2_MtCO2,all,all,45,375.235
2040,co2_MtCO2,all,all,46,393.946
2040,co2_MtCO2,all,all,47,388.922
2040,co2_MtCO2,all,all,48,377.339
2040,co2_MtCO2,all,all,49,352.927
2040,co2_MtCO2,all,all,50,374.646
2040,co2_MtCO2,all,all,51,372.446
2040,co2_MtCO2,all,all,52,415.772
2040,co2_MtCO2,all,all,53,391.307
2040,co2_MtCO2,all,all,54,403.857
2040,co2_MtCO2,all,all,55,367.052
2040,co2_MtCO2,all,all,56,385.093
2040,co2_MtCO2,all,all,57,364.368
2040,co2_MtCO2,all,all,58,350.301
2040,co2_MtCO2,all,all,59,334.341
2040,co2_MtCO2,all,all,60,392.658
2040,co2_MtCO2,all,all,61,413.732
2040,co2_MtCO2,all,all,62,399.495
2040,co2_MtCO2,all,all,63,417.658
2040,co2_MtCO2,all,all,64,400.148
2040,co2_MtCO2,all,all,65,409.373
