country,year,tech,carrier,share,useful_heat_MWh,final_energy_MWh,co2_tCO2,variant,mode
DE,2040,resistance_heater,electricity,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
DE,2040,hp_air,electricity,0.35803367,251500993.5556904,76602398.1346523,6128191.850772184,COST_OPT_75,trajectory
DE,2040,hp_ground,electricity,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
DE,2040,district_heat,district_heat,0.52196633,366655601.4064749,381138878.80090946,15245555.152036378,COST_OPT_75,trajectory
DE,2040,h2_boiler,hydrogen,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
DE,2050,gas_boiler,gas,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
DE,2050,oil_boiler,oil,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
DE,2050,biomass_boiler,biomass,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
DE,2050,resistance_heater,electricity,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
DE,2050,hp_air,electricity,0.47803367,315833349.54567796,93998020.69811845,1409970.3104717766,COST_OPT_75,trajectory
DE,2050,hp_ground,electricity,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
DE,2050,district_heat,district_heat,0.52196633,344859336.69476604,355525089.3760475,5332876.3406407125,COST_OPT_75,trajectory
DE,2050,h2_boiler,hydrogen,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
DK,2025,gas_boiler,gas,0.13,6716835.1147645945,7300907.733439776,1474783.362154835,COST_OPT_75,trajectory
DK,2025,oil_boiler,oil,0.045,2325058.3089569747,2583398.121063305,684600.5020817759,COST_OPT_75,trajectory
DK,2025,biomass_boiler,biomass,0.065,3358417.5573822972,3816383.587934429,0.0,COST_OPT_75,trajectory
DK,2025,resistance_heater,electricity,0.025,1291699.0605316528,1318060.2658486252,171347.8345603213,COST_OPT_75,trajectory
DK,2025,hp_air,electricity,0.07,3616757.369488628,1191290.3061556746,154867.7398002377,COST_OPT_75,trajectory
