country,year,peak_gw,firm_ccgt_cap_gw,firm_ccgt_energy_gwh,peaker_cap_gw,peaker_energy_gwh,peaker_flh,short_hours,unserved_gwh,lol_hours
SI,2025,2.5736513321133705,0.5,3424.4229826961464,0.40280535840965004,31.383722858676506,77.91287331078524,229,0.011712111202070385,3
SI,2030,2.9831308749643766,0.5,3743.1899358171822,0.8120822020951783,255.6521789124743,314.8107152858291,1135,0.012131607700300417,3
SI,2040,3.7557905601257877,0.5,2858.5301007643648,1.173377684967098,195.69896034370814,166.78258232701572,562,0.05740061274552444,3
SI,2050,4.287515876464173,0.5,2191.519021622161,1.2759153058514978,70.22588015081459,55.039609469962805,149,0.03849806865374994,3
SK,2025,4.856176288595887,1.0,2796.8650944996407,0.0,0.0,0.0,0,0.0,0
SK,2030,5.690323833866904,1.0,4109.150559072714,0.0,0.0,0.0,0,0.0,0
SK,2040,7.267629127140171,1.5,5104.768690420627,0.0,0.0,0.0,0,0.0,0
SK,2050,8.340267701584452,2.0,5795.92605371191,0.0,0.0,0.0,0,0.0,0
UK,2025,48.26610471833216,37.0,103042.57309417604,0.0,0.0,0.0,0,0.0,0
UK,2030,66.31131715231706,35.0,95927.1060108022,13.837077134349187,115.44877636463849,8.34343664082411,14,12.416449188490553,3
UK,2040,75.47172739255711,27.5,81893.00334064857,26.14128312394044,941.1834686839321,36.00372117243117,80,2.4763432173384032,3
UK,2050,91.35428587960246,20.0,53107.868711268005,49.35185924473865,5550.264278324548,112.46312425233009,322,6.406722867213858,3
