country,basis,year,peak_gw,firm_ccgt_cap_gw,firm_ccgt_energy_gwh,peaker_cap_gw,peaker_energy_gwh,peaker_flh,ocgt_energy_gwh,h2_energy_gwh,peaker_peak_out_gw,unserved_gwh,lol_hours,reserve_short_gw,objective_eur,status,n_repdays
LV,total_elec,2040,2.598365130978129,1.0,2019.6023722593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.05,279881615.05014247,Optimal,10
LV,total_elec,2050,2.99191436146623,1.0,1713.776751739802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.05,244370967.3338974,Optimal,10
MT,total_elec,2025,0.6232119185304332,0.7,2845.00888351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,251263826.810008,Optimal,10
MT,total_elec,2030,0.6566767338147713,0.7,3069.6938315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,316274260.262345,Optimal,10
MT,total_elec,2040,0.6907894023826456,0.7,2419.241430168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.015,289442353.58552265,Optimal,10
MT,total_elec,2050,0.7235482180192014,0.7,1963.0804578552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.035,247531989.75014216,Optimal,10
NL,total_elec,2025,20.116316131558495,20.0,42110.504808601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3991042515.115104,Optimal,10
NL,total_elec,2030,25.76285185547964,18.0,28735.336328497004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.9,3264827335.770872,Optimal,10
NL,total_elec,2040,29.885618747437878,15.0,22020.7952785033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75,3095005776.628589,Optimal,10
NL,total_elec,2050,36.865222266381,12.0,17870.238582590002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.6,2810385976.186151,Optimal,10
PL,total_elec,2025,28.18384651681897,4.0,34290.894546200005,20.920504946296184,61829.43718498948,2955.446694222164,55438.064445519994,6391.372739469487,20.920504,0.17967976809999706,3,1.339,13856927133.638458,Optimal,186
PL,total_elec,2030,34.0547243006952,12.0,57636.356003994995,17.206879149236702,10795.020815677499,627.3665736855231,9651.6045215162,1143.4162941613,17.2068792,0.2530051539023921,3,1.704,8074763656.637083,Optimal,186
PL,total_elec,2040,45.07690461636365,13.0,39880.89052845401,22.504370928391154,5596.115692472058,248.66794589721627,4925.4199423276805,670.6957501443779,22.50437,4.4409183,3,3.343,6150057028.410893,Optimal,78
PL,total_elec,2050,50.81572265260054,14.0,40836.49096824,22.047556285573428,1306.7563244154999,59.269894018620164,1106.590844695,200.16547972049997,22.047556,5.0490916,3,3.585,5554801855.979852,Optimal,20
PT,total_elec,2025,8.852454244725418,4.0,11924.001337831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,1327611513.1164625,Optimal,10
PT,total_elec,2030,9.697561959836733,4.0,13193.699026886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,1710126196.7110019,Optimal,10
PT,total_elec,2040,10.93530730336563,3.5,8704.580495292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.175,1350493607.873119,Optimal,10
PT,total_elec,2050,11.93743102564798,3.0,7086.21705521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.15,1213729168.2157502,Optimal,10
RO,total_elec,2025,8.499590357713664,4.0,18394.907953669997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,1821246066.923712,Optimal,10
RO,total_elec,2030,10.629037547933853,4.0,22572.980395849998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,2846297577.7021093,Optimal,10
RO,total_elec,2040,15.24386893128073,4.0,12679.330235431,1.6984159028041494,83.5990818722,49.2217964599688,79.0163614242,4.582720448,1.6984159,2.5523004,3,1.269,1592161562.4656332,Optimal,10
RO,total_elec,2050,17.963972037388615,4.0,7918.523072747,2.802499261674864,155.204816577004,55.38085904231375,153.310476977,1.894339600004,2.8024992,9.9920072e-13,0,0.34,1054717177.9339093,Optimal,10
SE,total_elec,2025,26.2336410797899,1.0,4248.240504568001,3.018510941260491,168.2327688625,55.73369523459411,143.1922999605,25.040468902,3.018511,1.2768745049995995,3,1.224,472075406.6174859,Optimal,34
SE,total_elec,2030,28.920554925973505,1.0,4612.187051524,5.8015029205549755,368.1629943904,63.45993433632216,313.1065576657,55.0564367247,5.801503,2.0238265800002004,3,1.184,616795392.5131648,Optimal,35
