variant,country,year,shadow_eur_tco2,degenerate_low_baseline
COST_OPT_100,NL,2025,0.0,False
COST_OPT_100,NL,2030,0.0,False
COST_OPT_100,NL,2040,0.0,False
COST_OPT_100,NL,2050,0.0,False
COST_OPT_100,PL,2025,0.0,False
COST_OPT_100,PL,2030,33.3,False
COST_OPT_100,PL,2040,18.5,False
COST_OPT_100,PL,2050,10.7,False
COST_OPT_100,PT,2025,,True
COST_OPT_100,PT,2030,,True
COST_OPT_100,PT,2040,,True
COST_OPT_100,PT,2050,,True
COST_OPT_100,RO,2025,0.0,False
COST_OPT_100,RO,2030,14.82,False
COST_OPT_100,RO,2040,0.0,False
COST_OPT_100,RO,2050,0.0,False
COST_OPT_100,SE,2025,,True
COST_OPT_100,SE,2030,,True
COST_OPT_100,SE,2040,,True
COST_OPT_100,SE,2050,,True
COST_OPT_100,SI,2025,0.0,False
COST_OPT_100,SI,2030,0.0,False
COST_OPT_100,SI,2040,0.0,False
COST_OPT_100,SI,2050,0.0,False
COST_OPT_100,SK,2025,0.0,False
COST_OPT_100,SK,2030,0.0,False
COST_OPT_100,SK,2040,0.0,False
COST_OPT_100,SK,2050,0.0,False
COST_OPT_100,UK,2025,0.0,False
COST_OPT_100,UK,2030,0.0,False
COST_OPT_100,UK,2040,34.93,False
COST_OPT_100,UK,2050,21.5,False
