country|country_code|sector|subsector|btype|bage|topic|feature|type|detail|estimated|value|unit|source
Austria|at|Residential sector|Total|Total|1980 - 1989|BUILDING|Area|Constructed area [Mm²]||0|66.02849021193363|Mm²|Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/
Austria|at|Residential sector|Total|Total|1980 - 1989|BUILDING|Area|Heated area [Mm²]||0|61.02143415529885|Mm²|S. Pezzutto. Analysis of the space heating and cooling market in Europe. PhD-Thesis. 2014
Austria|at|Residential sector|Total|Total|1980 - 1989|BUILDING|Area|Cooled area [Mm²]||0|1.5360517967113045|Mm²|
Austria|at|Residential sector|Total|Total|1980 - 1989|BUILDING|Area|Number of dwellings/units [Mil.]||0|0.6321378905014521|1e6 dimensionless|Own calculations
Austria|at|Residential sector|Total|Total|1980 - 1989|BUILDING|Area|Number of buildings [Mil.]||0|0.28860974381703564|1e6 dimensionless|Own calculations
Austria|at|Residential sector|Total|Total|1980 - 1989|BUILDING|Tenure/ownership status and distribution|Owner occupied -  dwellings/units  [Mil.]||0|0.36158287336683054|1e6 dimensionless|Own calculations
Austria|at|Residential sector|Total|Total|1980 - 1989|BUILDING|Tenure/ownership status and distribution|Private rented  -  dwellings/units [Mil.]||0|0.17194150621639495|1e6 dimensionless|Own calculations
Austria|at|Residential sector|Total|Total|1980 - 1989|BUILDING|Tenure/ownership status and distribution|Social housing  -  dwellings/units [Mil.]||0|0.09861351091822652|1e6 dimensionless|Own calculations
Austria|at|Residential sector|Total|Total|1980 - 1989|BUILDING|Occupancy|Occupied [Mil.]||0|0.5441873515090202|1e6 dimensionless|Own calculations
Austria|at|Residential sector|Total|Total|1980 - 1989|BUILDING|Occupancy|Vacant [Mil.]||1|0.07459227107917132|1e6 dimensionless|Own calculations
Austria|at|Residential sector|Total|Total|1980 - 1989|BUILDING|Occupancy|Secondary dwellings/ units and others [Mil.]||1|0.013358267913260466|1e6 dimensionless|Own calculations
Austria|at|Residential sector|Total|Total|1980 - 1989|BUILDING|Construction features (U-values)|Walls||0|0.8801819477888239|dimensionless|Source residential part: IEE TABULA Project, TABULA Web Tool, 2017 http://webtool.building-typology.eu/#bm; Source service part: S. Birchall et al., D2.1a Survey on the energy needs and architectural features of the EU building stock, 2014
Austria|at|Residential sector|Total|Total|1980 - 1989|BUILDING|Construction features (U-values)|Windows ||0|1.9575178838145773|dimensionless|Source residential part: IEE TABULA Project, TABULA Web Tool, 2017 http://webtool.building-typology.eu/#bm; Source service part: S. Birchall et al., D2.1a Survey on the energy needs and architectural features of the EU building stock, 2014
Austria|at|Residential sector|Total|Total|1980 - 1989|BUILDING|Construction features (U-values)|Roof ||0|0.5163033796492569|dimensionless|Source residential part: IEE TABULA Project, TABULA Web Tool, 2017 http://webtool.building-typology.eu/#bm; Source service part: S. Birchall et al., D2.1a Survey on the energy needs and architectural features of the EU building stock, 2014
Austria|at|Residential sector|Total|Total|1980 - 1989|BUILDING|Construction features (U-values)|Floor ||0|0.5180468007265012|dimensionless|Source residential part: IEE TABULA Project, TABULA Web Tool, 2017 http://webtool.building-typology.eu/#bm; Source service part: S. Birchall et al., D2.1a Survey on the energy needs and architectural features of the EU building stock, 2014
