nuts_id,country,building_type,heat_2015_MWh,hp_feasibility,dh_feasibility
DE113,DE,MFH_HIGH,873717.631687773,0.5,0.8
DE113,DE,OTHER,3198646.88678058,0.6,0.4
DE113,DE,SFH,693635.4815316476,0.9,0.3
DE114,DE,MFH_HIGH,352605.451518567,0.5,0.8
DE114,DE,OTHER,1605327.9014203078,0.6,0.4
DE114,DE,SFH,433066.6470611251,0.9,0.3
DE115,DE,MFH_HIGH,868277.7967012725,0.5,0.8
DE115,DE,OTHER,3141829.036894775,0.6,0.4
DE115,DE,SFH,676893.1664039522,0.9,0.3
DE116,DE,MFH_HIGH,641258.7816883418,0.5,0.8
DE116,DE,OTHER,2470351.5957794427,0.6,0.4
DE116,DE,SFH,565389.6225322157,0.9,0.3
DE117,DE,MFH_HIGH,259348.19420558275,0.5,0.8
DE117,DE,OTHER,761386.8236539224,0.6,0.4
DE117,DE,SFH,113264.98214049476,0.9,0.3
DE118,DE,MFH_HIGH,360646.87890690553,0.5,0.8
DE118,DE,OTHER,1972838.3137441992,0.6,0.4
DE118,DE,SFH,608514.8073488952,0.9,0.3
DE119,DE,MFH_HIGH,123407.2271565884,0.5,0.8
DE119,DE,OTHER,692254.184554951,0.6,0.4
DE119,DE,SFH,216338.5882884605,0.9,0.3
