nuts_id,country,building_type,heat_2015_MWh,hp_feasibility,dh_feasibility
DE111,DE,MFH_HIGH,3029006.533195172,0.381,0.9
DE111,DE,OTHER,0.0,0.458,0.533
DE111,DE,SFH,1488223.2581512297,0.687,0.4
DE112,DE,MFH_HIGH,1380779.593893968,0.427,0.873
DE112,DE,OTHER,0.0,0.512,0.436
DE112,DE,SFH,2220077.449894152,0.768,0.327
DE113,DE,MFH_HIGH,1678200.350779929,0.426,0.874
DE113,DE,OTHER,0.0,0.512,0.437
DE113,DE,SFH,3057607.35410007,0.767,0.328
DE114,DE,MFH_HIGH,690884.0055921387,0.435,0.838
DE114,DE,OTHER,0.0,0.522,0.419
DE114,DE,SFH,1760117.217552082,0.783,0.314
DE115,DE,MFH_HIGH,1752736.0932085095,0.427,0.871
DE115,DE,OTHER,0.0,0.513,0.435
DE115,DE,SFH,3005720.717777171,0.769,0.326
DE116,DE,MFH_HIGH,1202044.1061660876,0.437,0.829
DE116,DE,OTHER,0.0,0.524,0.415
DE116,DE,SFH,2724151.658472627,0.786,0.311
DE117,DE,MFH_HIGH,524973.9944740466,0.408,0.9
DE117,DE,OTHER,0.0,0.489,0.477
DE117,DE,SFH,487275.8495458514,0.734,0.358
DE118,DE,MFH_HIGH,571013.587304209,0.457,0.745
DE118,DE,OTHER,0.0,0.548,0.373
DE118,DE,SFH,2644996.002009444,0.822,0.279
DE119,DE,MFH_HIGH,276640.4719223097,0.448,0.78
DE119,DE,OTHER,0.0,0.538,0.39
DE119,DE,SFH,1039444.3008982948,0.807,0.293
DE11A,DE,MFH_HIGH,546347.826432226,0.444,0.798
DE11A,DE,OTHER,0.0,0.533,0.399
DE11A,DE,SFH,1813397.0083873568,0.8,0.299
DE11B,DE,MFH_HIGH,287131.7944288264,0.457,0.743
DE11B,DE,OTHER,0.0,0.549,0.371
DE11B,DE,SFH,1467883.687830521,0.823,0.278
DE11C,DE,MFH_HIGH,294924.9399948189,0.45,0.772
DE11C,DE,OTHER,0.0,0.54,0.386
DE11C,DE,SFH,1033204.125227901,0.811,0.289
DE11D,DE,MFH_HIGH,666855.9654074144,0.447,0.787
DE11D,DE,OTHER,0.0,0.536,0.393
DE11D,DE,SFH,2542204.739507416,0.804,0.295
DE121,DE,MFH_HIGH,292644.9072370679,0.401,0.9
DE121,DE,OTHER,0.0,0.481,0.492
DE121,DE,SFH,304684.17238729226,0.721,0.369
DE122,DE,MFH_HIGH,1582706.061174682,0.387,0.9
DE122,DE,OTHER,0.0,0.464,0.522
DE122,DE,SFH,867125.2705768546,0.696,0.391
DE123,DE,MFH_HIGH,691027.678702771,0.457,0.745
DE123,DE,OTHER,0.0,0.548,0.373
DE123,DE,SFH,3434247.679918571,0.822,0.279
